Tanggal,10A HCl,10B HCl,11B HCl,10A NaCl,10B NaCl,11B NaCl,10A Sukrosa,10B Sukrosa,11B Sukrosa,10A MSG,10B MSG,11B MSG,10A Quinine,10B Quinine,11B Quinine
25 Maret 2022,-14.9,-15.3,-7.22,-38.16,-39.78,-30.78,13.08,13.52,19.86,124.7,127.22,137.78,123.52,133.06,137.28
28 Maret 2022,-27.86666667,-27.6,-24.33333333,-49.93333333,-48.16666667,-45.2,13.03333333,13.5,19.83333333,,,,,,
29 Maret 2022,-27.43333333,-27.4,-24.2,-50.7,-48.2,-46.06666667,,,,,,,,,
31 Maret 2022,-27.63333333,-27.26666667,-24.5,-50.4,-49.33333333,-46.56666667,,,,,,,,,
11-Apr-22,-34.7,-27.33333333,-31.53333333,-53.46666667,-44.7,-49.36666667,8.033333333,2.233333333,9.933333333,117.6666667,104.8666667,125.3666667,109.0666667,134.0666667,91.7
11-Apr-22,-31.7,-34.7,-27.33333333,-53.26666667,-43.86666667,-49.5,7.433333333,6.933333333,11.3,115.0666667,94.56666667,125.6666667,103.4666667,123,94.4
11-Apr-22,-33.1,-34.96666667,-28.43333333,-53.3,-44.33333333,-49.26666667,5.933333333,6.9,10.83333333,111.7666667,91.96666667,125.1666667,97.73333333,127.9,92.9
12-Apr-22,-19.56666667,-24.86666667,-25.46666667,-53.86666667,-46.6,-52.5,8.066666667,16.16666667,11.16666667,122.4,123.8333333,116.0666667,134.6333333,128.0333333,137.7333333
12-Apr-22,-28.13333333,-19.7,-24.3,-53.7,-45.7,-51.7,7.633333333,15.6,11.46666667,121,121.7333333,119.4,130.0666667,126.3,138.9
12-Apr-22,-28.1,-19.76666667,-25.06666667,-53.63333333,-45.5,-50.93333333,8,16.16666667,11.6,118.4,121.6666667,118.1,126.9666667,122.5666667,138.0333333
13-Apr-22,-29.03333333,-25.4,-27.06666667,-53.9,-51.1,-52.26666667,,,,,,,,,
13-Apr-22,-28.9,-25.83333333,-26.6,-53.96666667,-49.76666667,-52.2,,,,,,,,,
13-Apr-22,-28.93333333,-25.33333333,-26.73333333,-53.9,-48.93333333,-52,,,,,,,,,
14-Apr-22,-30.76666667,-28.06666667,-29.43333333,-54.83333333,-49.76666667,-51.83333333,5.466666667,12.36666667,8.1,98.8,117,112.4666667,114.2333333,106.9333333,122.7333333
14-Apr-22,-30.5,-26.96666667,-28.8,-54.63333333,-49.66666667,-51.8,5.333333333,12.2,8.466666667,98.6,112.0666667,110.7,112.3666667,104.4,123.9333333
14-Apr-22,-30.16666667,-26.8,-28.93333333,-55,-51.86666667,-51.56666667,5.333333333,11.9,8.466666667,95.5,109.3333333,106.0666667,111.6,108.7666667,118.2
18-Apr-22,-31.23333333,-31.63333333,-32.16666667,-55.13333333,-54.76666667,-55.1,8.366666667,6.633333333,4.5,121.4333333,102.7333333,75.53333333,112.6,114.9666667,132.1666667
18-Apr-22,-31.33333333,-31.03333333,-31.23333333,-55.1,-53.6,-54.2,8.133333333,6.7,5.033333333,127.4333333,86.76666667,97.73333333,98.3,115.4333333,118.4666667
18-Apr-22,-31.23333333,-30.63333333,-30.4,-55.06666667,-53.16666667,-53.53333333,8.033333333,6.3,4.966666667,115.6,95.53333333,94.83333333,110.1,114.2,129.6333333
19-Apr-22,0,-17.6,0,,-51.46666667,,,,,100.2666667,133.3666667,98.7,104.7666667,135.8333333,106.4666667
20-Apr-22,-32.76666667,-31.13333333,-31.36666667,-55.1,-53.46666667,-52.6,11.16666667,11.3,12.33333333,130.3666667,132.3333333,127.1666667,126.8,120.3,109.3666667
27-Apr-22,-34,-33.2,-33.73333333,-55.16666667,-53.9,-55.03333333,8.433333333,9.2,8.2,110.9333333,113.7333333,95.5,141.2,142.9333333,142
